,neuron_idx,layer_name,real_accuracy,pseudo_accuracy,low_freq_accuracy,high_freq_accuracy,simple_accuracy,complex_accuracy,primacy_accuracy,recency_accuracy,short_accuracy,long_accuracy
244,116,decoder,1.0,0.965,1.0,1.0,1.0,1.0,0.9941666666666666,0.9908333333333333,1.0,0.9766666666666667
245,117,decoder,0.99875,0.975,0.9895833333333334,1.0,0.9975,1.0,0.995,0.9933333333333333,1.0,0.9816666666666667
246,118,decoder,1.0,0.975,1.0,1.0,1.0,1.0,0.995,0.9933333333333333,1.0,0.9833333333333333
247,119,decoder,1.0,0.97,1.0,1.0,1.0,1.0,0.9933333333333333,0.9933333333333333,1.0,0.98
248,120,decoder,1.0,0.9725,1.0,1.0,1.0,1.0,0.9941666666666666,0.995,1.0,0.9816666666666667
249,121,decoder,1.0,0.97,1.0,1.0,1.0,1.0,0.995,0.9908333333333333,1.0,0.98
250,122,decoder,1.0,0.9725,1.0,1.0,1.0,1.0,0.9941666666666666,0.9933333333333333,1.0,0.9816666666666667
251,123,decoder,1.0,0.97,1.0,1.0,1.0,1.0,0.9933333333333333,0.9925,1.0,0.98
252,124,decoder,1.0,0.9725,1.0,1.0,1.0,1.0,0.9941666666666666,0.9941666666666666,1.0,0.9816666666666667
253,125,decoder,1.0,0.9725,1.0,1.0,1.0,1.0,0.9941666666666666,0.9941666666666666,1.0,0.9816666666666667
254,126,decoder,1.0,0.97,1.0,1.0,1.0,1.0,0.9933333333333333,0.9933333333333333,1.0,0.98
255,127,decoder,1.0,0.9725,1.0,1.0,1.0,1.0,0.9933333333333333,0.9925,1.0,0.9816666666666667
