model,hidden_size,num_layers,dropout,learning_rate,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30
e30_h4_l1_d0.1_r0.01,4,1,0.1,0.01,0.6164949762064342,0.3132241689282469,0.2922046755510951,0.2872815908664475,0.2868148495159422,0.2831048937104125,0.2815300958943864,0.2757023477859407,0.273441417882951,0.2724905271961224,0.2833010588570704,0.2819011542467452,0.2802479799432965,0.2907253635356513,0.2928298246066836,0.2885131676982532,0.2950396495323783,0.288278425498568,0.2983677181199607,0.2918621127074506,0.2914530008572981,0.2915504352580393,0.2945342991046116,0.2789788611488275,0.2853637981855892,0.2851202975105559,0.2937231836817848,0.2958751668120618,0.3108828556711565,0.3155799919325651,0.3227631744474172,0.2361236705573275,0.2632593160877004,0.1922320225770585,0.1769363487223163,0.2396007873722352,0.2276839569606818,0.2136776876095682,0.2088141298089176,0.23028305878276,0.2413482170840725,0.2333725999876856,0.2757897825994063,0.257695653444808,0.3666872405169532,0.220838827753812,0.2335589585541747,0.2253599382019601,0.2044703542444855,0.2397481297625228,0.2053217972273007,0.216770216695778,0.1993306583440397,0.2134003836963325,0.2899838348030346,0.2863764602274634,0.2103417198868934,0.1902991492080502,0.29109214566648,0.3198168726544361
e30_h4_l1_d0.1_r0.001,4,1,0.1,0.001,1.2237939128965138,0.7698048718456593,0.6786694246256103,0.6303656931460317,0.5790280248353878,0.5435604990491644,0.5170139388523582,0.4836594251166822,0.4666154382488173,0.4536147060085088,0.4429711755445537,0.4377912697398621,0.4328048145729324,0.4267550192043082,0.4235803588798994,0.4168309094071906,0.41467894339518,0.4109693896808558,0.4071821121206403,0.4052779480019377,0.3984557352423823,0.3567787893168473,0.3501960123085934,0.3479032774869559,0.3454475062431664,0.3411669209535182,0.340879650963817,0.3363350827391776,0.3366146929929136,0.3364025063930855,0.9958325861550869,0.7986989604368806,0.7045640536073595,0.6459950030103326,0.5759144020279869,0.528724416731298,0.5130981622209773,0.4827847041353583,0.4662036373533308,0.4605636838803068,0.4427240652707405,0.440125654556416,0.4432482611401007,0.4419107986188493,0.4133871551628224,0.4226505135689862,0.4219148960726335,0.3997066273512318,0.3937137693071738,0.3890712826300412,0.3427649955454282,0.3236758742090315,0.3257756938653067,0.3179387296556495,0.2983929644225165,0.3075821288299746,0.3208791169790551,0.304901093596546,0.293762676123064,0.2886335266378708
e30_h4_l1_d0.2_r0.01,4,1,0.2,0.01,0.7999671750154036,0.5470412910621587,0.5298334067686784,0.5060476389054106,0.4770611864564255,0.4664691575368038,0.4589680984020932,0.4635199940736522,0.4630775193071096,0.4490821622364352,0.4575803468600096,0.446545677036316,0.4389789667171349,0.442900114812874,0.4364761021794001,0.4402619616389507,0.4380714080840892,0.4393695969502855,0.4346100247925095,0.4382757826451859,0.4405343251895832,0.4280144794531942,0.4335015925243471,0.433640093193718,0.4380848337719993,0.4355068486169963,0.4350376899786423,0.4395961924703429,0.4300084508668812,0.4383152796304164,0.4935454140450805,0.4355975966673344,0.4116882431492209,0.4253661377582699,0.3953351660052314,0.3661087991453707,0.3969923475738615,0.3662522251404821,0.4525398305414244,0.304444496726431,0.26971068400722,0.2673295622944832,0.3541906385149806,0.2750288981894031,0.287718145660311,0.2928943557338789,0.3185814621070399,0.2667121775116771,0.2800674908753484,0.3758842225247994,0.3146465644312091,0.3746438376646488,0.3424354904667474,0.3055282844671979,0.3408024360604584,0.3117892032691277,0.3755611289069056,0.3353576377650722,0.3024513860320672,0.299998446140904
e30_h4_l1_d0.2_r0.005,4,1,0.2,0.005,1.0695230776145226,0.6925780037692023,0.5821461357429624,0.5324404578334342,0.4961276354550074,0.4829019337946135,0.4718237521384428,0.4672883230863242,0.4611167229791016,0.4629085074710401,0.4349027691974098,0.4286092480185803,0.4222831558038118,0.4193876383181351,0.4106164662467885,0.4077639635356195,0.4059293255089523,0.4070773178569662,0.4028651140999592,0.4025536292517454,0.4019543997166782,0.4014904641582165,0.399197936451047,0.3999023137194725,0.3926121514211771,0.3939355023333648,0.3941103233239122,0.3948922120779727,0.3958247657233021,0.3955932069116686,0.8635097124300897,0.704873559415713,0.6659064850080758,0.5807970597986132,0.5229960352938622,0.5148348512635567,0.4886746582880616,0.5051151031224057,0.4389947441198863,0.4955855363658629,0.3655632832851261,0.3994336834918707,0.3633848852644674,0.3904288948745467,0.3794451835267245,0.3421808802645653,0.3824510946578346,0.4048915375786833,0.3521326116925105,0.4178701450513676,0.5163440065577626,0.350758250851836,0.3489927806500811,0.3458407396760303,0.4685773937720805,0.3291807963779661,0.4258329754501581,0.358016565360222,0.3900528571697417,0.4116024174148217
e30_h4_l1_d0.2_r0.001,4,1,0.2,0.001,1.354043348194162,0.8153610804792908,0.6788652277900526,0.5996184620283751,0.5415775264592634,0.5077457817148624,0.4818082632586463,0.4650262189022369,0.4472951601195045,0.4341790662817657,0.4163806639543734,0.4092937673224084,0.3986411329314992,0.3917415118809427,0.3829569785787776,0.3759266222100187,0.3671306981884098,0.3516763192051814,0.3408738176661957,0.3310113699488704,0.3247632933364974,0.3123367613192906,0.3065495837684747,0.3007849817503683,0.2993070133918146,0.2954482623885773,0.2909347210303207,0.2906607879821444,0.2861706588220524,0.2873395569997788,1.062452297268808,0.8069102864742279,0.7180441328637301,0.6580937450613826,0.6375377071335911,0.6368770252004265,0.5962998985670507,0.6422596516903489,0.6012581867147238,0.5890677718888968,0.6429020258165896,0.6012534253878519,0.6670822422627359,0.7036327595265582,0.6666926119271666,0.6634514393122867,0.6776506763432175,0.6303611886624246,0.6025749552313239,0.6618459578288719,0.6609918409045785,0.580468530115299,0.6240880769792945,0.550001564864628,0.5182489266466349,0.6134046636495739,0.5749812400946394,0.6331571732196957,0.6833938830528409,0.675605925876461
e30_h4_l2_d0.0_r0.01,4,2,0.0,0.01,0.551989524096354,0.1917520494585585,0.105230164279075,0.1043291746548545,0.099709281796336,0.0992062928969158,0.1129251260813169,0.1240224641977137,0.1114297705042706,0.1100320059384529,0.0955233508911436,0.076106173523302,0.1034919623099859,0.1122187635778957,0.1482710055501349,0.1227128877940555,0.2102071855840488,0.2259795325701771,0.2460170743727183,0.2066081164287442,0.1731023342585052,0.1911010729464102,0.1519782858847252,0.2076440671375729,0.1639642758090949,0.3255649370994887,0.2866846155174461,0.4127234991197727,0.4094466053980609,0.4957322131298999,0.396036034845002,0.2177272179933963,0.2863206085427198,0.3609904182767728,0.194023305595899,0.0979508846787968,0.1176682874381193,0.2162589524285053,0.1824341896395199,0.1396593103454914,0.2267782656120136,0.1965665675302734,0.2397771539665758,0.1759943799362168,0.2405708882386854,0.1901093983652536,0.2761597331315046,0.2828585606699343,0.2296451138040516,0.1990010176343843,0.6981664281666279,0.9825629484072328,0.4244509321562946,0.2669944028655824,0.2101761408830993,0.3268382641106378,0.590387423986278,0.4487736839260905,1.0199939265083522,0.8538423053838312
e30_h4_l2_d0.0_r0.005,4,2,0.0,0.005,0.8387395600409143,0.4197011035653581,0.2338832109066069,0.1360281790931311,0.1117039161891191,0.1278157141912418,0.0823028305183426,0.064645444459479,0.0595334684053781,0.0457479011819931,0.0417205549267112,0.0368141211060438,0.0343373961506358,0.0309556668487316,0.0295774613844207,0.0369472200447543,0.0374368788591457,0.0454825033626418,0.034337223578256,0.0330959197228703,0.0262792952168182,0.028896697505888,0.0253719575970825,0.0249981966925421,0.0233038596676042,0.0212895442350006,0.0215916345236507,0.0212298210265967,0.0199219315067788,0.0204346996713609,0.690701428167522,0.7824618450856767,0.3938662444640882,0.2311288744132413,0.2508302127474075,0.1943609287213534,0.1525489658517064,0.1412860344716376,0.1089027506388083,0.1072212188750389,0.0856951630675757,0.0828111067507241,0.0774583445979078,0.0766351991168106,0.0704107701881497,0.0769164925226301,0.0754491922678484,0.0737076436252216,0.1147594180025102,0.0606989682778396,0.0693902886865631,0.07163483861087,0.0442175857911875,0.0502404525547404,0.0501759874722687,0.8019161642454681,0.0396540515135435,0.0645880040777294,0.0412367715722037,0.0329215294189758
e30_h4_l2_d0.0_r0.001,4,2,0.0,0.001,1.0510151380663115,0.4381195921445058,0.2384375268515251,0.1452826018643901,0.0967868434412016,0.0581299288878657,0.0412855130484457,0.0315229233249232,0.024707553584005,0.0191000064364789,0.0151229567115434,0.0123140371526352,0.0100012084976525,0.0082216763917107,0.0071064068710635,0.0061367068018791,0.0052407252040215,0.0045218743483866,0.0039963684273403,0.0035361707855107,0.0032065526093368,0.0028482602169379,0.0026818353409438,0.0023452139039843,0.0021045599622563,0.0019309388741144,0.0018532767843965,0.0015795572862928,0.0014554347838892,0.0013541569143457,0.8547440026134252,0.5364645638201386,0.3414041580521502,0.2509697159945965,0.1797122170020826,0.1367614081939682,0.1099708779932931,0.0895734329298371,0.0739576901062042,0.0634532076703617,0.0531647493955562,0.0446988015462295,0.0389972394210635,0.035183467379515,0.0303676756202708,0.0273276533474621,0.0245273818086687,0.0215875673471367,0.0198519578570514,0.0182174569320843,0.0166647925213561,0.0160724541784402,0.0141079472164081,0.0127854109930362,0.0121349913353102,0.0117283095956659,0.0102022364673368,0.0099475960315347,0.0100288268021115,0.0153345403731669
e30_h4_l2_d0.1_r0.01,4,2,0.1,0.01,1.7395637635370096,1.6181578094601632,1.630785030015972,1.8674797883212568,1.674377004563146,1.7134615879919797,1.863127458977037,1.8893701125012503,1.851997675689724,1.940404594642586,2.061802281901572,2.109582190330161,2.113750152351459,2.0883647079447907,2.0947178769555355,2.122424325046937,2.1611269578331047,2.135797305088573,2.0725277016937733,2.153688297723399,2.10907289053864,2.0830386329425705,2.080120889409383,2.105583096813493,2.212460272540649,2.2254409257968266,2.1858878626969127,2.165464406255881,2.102267257973883,2.2038094092653857,1.87177064896822,1.9009065671443937,2.104327811264992,2.1036939616203307,1.925780987077952,2.112538113796711,2.107245205295086,2.317459223395586,2.341561407673359,2.239513774454594,2.374056544908881,2.380876721072197,2.403329629766941,2.384524435007572,2.4366177990078928,2.434386031639576,2.4652072570443155,2.399098421096802,2.3135051609396933,2.361654462611676,2.382227449822426,2.3845326150894164,2.396229180574417,2.416480949497223,2.5954410389781,2.57655239726305,2.4545779302597044,2.488287041413784,2.489360212445259,2.5394463006198404
e30_h4_l2_d0.1_r0.005,4,2,0.1,0.005,1.082681825203283,0.7666151993524283,0.673440222984273,0.633700475123028,0.6130792738295782,0.6050624560498892,0.5668293232318066,0.555983888753695,0.5423309627628161,0.5392467210070852,0.5260048196149679,0.5268157963346483,0.5157831044325812,0.5055862567279902,0.4941826774662981,0.4872041047541528,0.487668870019209,0.4791080084812103,0.479094063205303,0.4803952948053678,0.4746422273508376,0.4658675003953588,0.4751433446180075,0.4829288571296259,0.4845544506388768,0.4744690424431012,0.4792245090754702,0.4751594373847617,0.4719970566647127,0.4608217520384687,0.9158012296669186,0.819627014747262,0.6942513657972217,0.5831439350523054,0.6014957198038697,0.4767366530817002,0.4315573647487908,0.4507592358238995,0.3451880118425935,0.4995691547462716,0.3361385690808296,0.3904550204241648,0.3138233174968511,0.3943891723409295,0.3024278406158089,0.3034564249839633,0.3505156395956874,0.3358171717386692,0.4286252389449626,0.2849851375486701,0.3061716288579628,0.2891569509582594,0.3635363607702777,0.3440146573491394,0.3391195703759789,0.4102549750925973,0.3579179108856246,0.3380528252858668,0.3133146123545244,0.3518814563148655
e30_h4_l2_d0.2_r0.01,4,2,0.2,0.01,1.5203791874234875,1.4918695456392237,1.5093586270044248,1.5677108465969565,1.517542667719722,1.542032209032774,1.5364423838507797,1.6352810918612612,1.54511498168442,1.600794091170364,1.6346046869085895,1.6404628740419944,1.733380628289779,1.5801992333316142,1.6264176531102923,1.6731744388843577,1.659922142499023,1.6399920514245827,1.6908656843165557,1.655465495583415,1.6341528447303506,1.6466031454192267,1.7604089201562934,1.8214244562238453,1.87660853931374,1.7587864205744532,1.7500759006510178,1.6941652350318102,1.691766852873481,1.7078625063528616,1.5201138516247272,1.6687447736024856,1.6248932010412216,1.671255311998725,1.8648399950504304,1.6438894558787347,1.7166570265114307,1.7338184890985489,1.691070760768652,1.7981974386900663,1.7517256892979145,2.0973751015603543,1.777955231153965,1.7352158785879612,1.8004816942572597,1.7694852833211423,1.690331598252058,1.6957952361404895,1.8502976780891416,1.7725252544403076,1.812114332717657,1.8848010189414024,1.983337478744984,1.9735681891918184,1.909550359201432,1.869933105713129,1.9073794206917285,1.8625600674152367,1.6639994565188885,1.7793759995877745
e30_h4_l2_d0.1_r0.001,4,2,0.1,0.001,1.4860782770534355,1.0784951961782243,0.9401544726222754,0.7858662449371484,0.6692223352165686,0.6089899329897844,0.5735388285686366,0.5495215153359911,0.5228295969025749,0.5069176214458421,0.4886036730249515,0.4740461747439474,0.4525990379637728,0.4300659674204472,0.4135714417719489,0.4029381388600605,0.3918876305093264,0.3802339290680881,0.3700646221874178,0.3505201952703815,0.3312437405060666,0.321071617802129,0.3079720613206271,0.2948863487990418,0.2880392243546071,0.2798405877972099,0.2763722122911208,0.2752856731203772,0.2736730662385364,0.2681924766166006,1.382790355372429,1.16103527444005,0.9753673539295792,0.8021348539814352,0.7118802343294024,0.6223569028582424,0.5820675692901015,0.5542058289147913,0.5129928287476301,0.5296724221115,0.4717257782540284,0.4767971336826682,0.5006861187094822,0.4495726211162284,0.4421659922080114,0.451500345200859,0.4409535673877224,0.3985128291685134,0.4501724641200155,0.4123338851645589,0.4452339916873723,0.571132266156748,0.3739082081427797,0.3838242474023253,0.3276467641815543,0.2957453638641164,0.3809879218062386,0.3192854217842221,0.3611153215300292,0.2626827846359461
e30_h8_l1_d0.0_r0.001,8,1,0.0,0.001,0.2028210125826724,0.0054741493564414,0.0018016711944696,0.0008789997906738,0.0004946060786548,0.0003711764041076,0.0003061012197886,0.0002272767507809,0.0001858152138301,0.000155036450659,0.0001004217913064,0.0001024940188138,0.0001377338411362,5.072832661731205e-05,6.756318343673473e-05,8.60811758364981e-05,6.26310287837421e-05,8.511981575774363e-05,5.442662092705566e-05,4.258000831674548e-05,0.0001147463269214,4.370760110740708e-05,5.668047932896949e-05,5.007272322948189e-05,0.0001259753957737,3.70381113108849e-05,7.308854965226077e-05,8.11501798481311e-05,4.373488396142222e-05,0.0001123195567333,0.0441807110212568,0.0162457559159392,0.0102366309386666,0.0063005231065466,0.0046353423414968,0.0036792385428681,0.0049794906996484,0.0029945983702482,0.0025174918329822,0.0018968941875113,0.0022066326107139,0.0020792389669617,0.0015711439937499,0.001553699680342,0.0015401481463531,0.0015535122146262,0.0019204786422917,0.0015036466382943,0.0015557062377511,0.0014126638291858,0.001354097355334,0.0011350839053221,0.0012986764145281,0.0012998615484043,0.000991381474879,0.0011834017457133,0.001134002494872,0.0010999734668938,0.0013800139105289,0.0010162304658197
